RoomSize_m2,Ventilation_ACH,ViralLoad,EstimatedInfections,LogViralLoad
30,1,10000000.0,2016,16.11809565095832
30,1,10000000.0,1974,16.11809565095832
30,1,10000000.0,2017,16.11809565095832
30,1,10000000.0,1997,16.11809565095832
30,1,10000000.0,1960,16.11809565095832
30,1,10000000.0,1972,16.11809565095832
30,1,10000000.0,2027,16.11809565095832
30,1,10000000.0,2047,16.11809565095832
30,1,10000000.0,2011,16.11809565095832
30,1,10000000.0,2040,16.11809565095832
30,1,46415888.33612773,9168,17.653152379621016
30,1,46415888.33612773,9357,17.653152379621016
30,1,46415888.33612773,9285,17.653152379621016
30,1,46415888.33612773,9238,17.653152379621016
30,1,46415888.33612773,9388,17.653152379621016
30,1,46415888.33612773,9336,17.653152379621016
30,1,46415888.33612773,9247,17.653152379621016
30,1,46415888.33612773,9368,17.653152379621016
30,1,46415888.33612773,9278,17.653152379621016
30,1,46415888.33612773,9298,17.653152379621016
30,1,215443469.00318778,43137,19.18820910828371
30,1,215443469.00318778,43150,19.18820910828371
30,1,215443469.00318778,42942,19.18820910828371
30,1,215443469.00318778,43038,19.18820910828371
30,1,215443469.00318778,43042,19.18820910828371
30,1,215443469.00318778,43334,19.18820910828371
30,1,215443469.00318778,42981,19.18820910828371
30,1,215443469.00318778,43044,19.18820910828371
30,1,215443469.00318778,43122,19.18820910828371
30,1,215443469.00318778,42552,19.18820910828371
30,1,1000000000.0,200307,20.72326583694641
30,1,1000000000.0,199861,20.72326583694641
30,1,1000000000.0,199722,20.72326583694641
30,1,1000000000.0,199896,20.72326583694641
30,1,1000000000.0,201072,20.72326583694641
30,1,1000000000.0,200290,20.72326583694641
30,1,1000000000.0,199947,20.72326583694641
30,1,1000000000.0,200201,20.72326583694641
30,1,1000000000.0,200745,20.72326583694641
30,1,1000000000.0,199843,20.72326583694641
30,3,1000.0,0,6.907755278982137
30,3,1000.0,0,6.907755278982137
30,3,1000.0,0,6.907755278982137
30,3,1000.0,0,6.907755278982137
30,3,1000.0,0,6.907755278982137
30,3,1000.0,0,6.907755278982137
30,3,1000.0,0,6.907755278982137
30,3,1000.0,0,6.907755278982137
30,3,1000.0,0,6.907755278982137
30,3,1000.0,0,6.907755278982137
30,3,4641.588833612777,0,8.442812007644834
30,3,4641.588833612777,0,8.442812007644834
30,3,4641.588833612777,0,8.442812007644834
30,3,4641.588833612777,0,8.442812007644834
30,3,4641.588833612777,1,8.442812007644834
30,3,4641.588833612777,0,8.442812007644834
30,3,4641.588833612777,0,8.442812007644834
30,3,4641.588833612777,0,8.442812007644834
30,3,4641.588833612777,1,8.442812007644834
30,3,4641.588833612777,0,8.442812007644834
30,3,21544.346900318822,2,9.977868736307531
30,3,21544.346900318822,0,9.977868736307531
30,3,21544.346900318822,2,9.977868736307531
30,3,21544.346900318822,0,9.977868736307531
30,3,21544.346900318822,2,9.977868736307531
30,3,21544.346900318822,4,9.977868736307531
30,3,21544.346900318822,0,9.977868736307531
30,3,21544.346900318822,0,9.977868736307531
30,3,21544.346900318822,2,9.977868736307531
30,3,21544.346900318822,3,9.977868736307531
30,3,100000.0,7,11.512925464970229
30,3,100000.0,8,11.512925464970229
30,3,100000.0,9,11.512925464970229
30,3,100000.0,8,11.512925464970229
30,3,100000.0,7,11.512925464970229
30,3,100000.0,9,11.512925464970229
30,3,100000.0,6,11.512925464970229
30,3,100000.0,4,11.512925464970229
30,3,100000.0,1,11.512925464970229
30,3,100000.0,5,11.512925464970229
30,3,464158.8833612772,26,13.047982193632924
30,3,464158.8833612772,27,13.047982193632924
30,3,464158.8833612772,34,13.047982193632924
30,3,464158.8833612772,33,13.047982193632924
30,3,464158.8833612772,32,13.047982193632924
30,3,464158.8833612772,31,13.047982193632924
30,3,464158.8833612772,34,13.047982193632924
30,3,464158.8833612772,39,13.047982193632924
