RoomSize_m2,Ventilation_ACH,ViralLoad,EstimatedInfections
60,1,100000.0,5
60,1,100000.0,8
60,1,100000.0,14
60,1,100000.0,8
60,1,100000.0,8
60,1,100000.0,5
60,1,100000.0,10
60,1,100000.0,5
60,1,100000.0,12
60,1,100000.0,6
60,1,464158.8833612772,54
60,1,464158.8833612772,50
60,1,464158.8833612772,32
60,1,464158.8833612772,43
60,1,464158.8833612772,45
60,1,464158.8833612772,46
60,1,464158.8833612772,50
60,1,464158.8833612772,42
60,1,464158.8833612772,45
60,1,464158.8833612772,45
60,1,2154434.6900318824,190
60,1,2154434.6900318824,220
60,1,2154434.6900318824,216
60,1,2154434.6900318824,233
60,1,2154434.6900318824,204
60,1,2154434.6900318824,198
60,1,2154434.6900318824,228
60,1,2154434.6900318824,222
60,1,2154434.6900318824,228
60,1,2154434.6900318824,185
60,1,10000000.0,997
60,1,10000000.0,1012
60,1,10000000.0,985
60,1,10000000.0,990
60,1,10000000.0,1016
60,1,10000000.0,995
60,1,10000000.0,983
60,1,10000000.0,964
60,1,10000000.0,977
60,1,10000000.0,1033
60,1,46415888.33612773,4733
60,1,46415888.33612773,4658
60,1,46415888.33612773,4696
60,1,46415888.33612773,4635
60,1,46415888.33612773,4582
60,1,46415888.33612773,4699
60,1,46415888.33612773,4695
60,1,46415888.33612773,4732
60,1,46415888.33612773,4637
60,1,46415888.33612773,4701
60,1,215443469.00318778,21743
60,1,215443469.00318778,21542
60,1,215443469.00318778,21235
60,1,215443469.00318778,21652
60,1,215443469.00318778,21664
60,1,215443469.00318778,21666
60,1,215443469.00318778,21881
60,1,215443469.00318778,21757
60,1,215443469.00318778,21338
60,1,215443469.00318778,21511
60,1,1000000000.0,100339
60,1,1000000000.0,99719
60,1,1000000000.0,99890
60,1,1000000000.0,100461
60,1,1000000000.0,99952
60,1,1000000000.0,99974
60,1,1000000000.0,100233
60,1,1000000000.0,100065
60,1,1000000000.0,99881
60,1,1000000000.0,99797
60,3,1000.0,0
60,3,1000.0,0
60,3,1000.0,1
60,3,1000.0,0
60,3,1000.0,0
60,3,1000.0,0
60,3,1000.0,0
60,3,1000.0,0
60,3,1000.0,0
60,3,1000.0,0
60,3,4641.588833612777,0
60,3,4641.588833612777,0
60,3,4641.588833612777,0
60,3,4641.588833612777,0
60,3,4641.588833612777,0
60,3,4641.588833612777,0
60,3,4641.588833612777,0
60,3,4641.588833612777,0
60,3,4641.588833612777,0
